V1	V2.x	V3	V4	V5	grp	DUP	len
9	braker_augustus	exon	541287	541462	132	NO	176
9	braker_augustus	intron	541463	543599	133	NO	2137
9	braker_augustus	exon	543600	543618	134	NO	19
9	braker_augustus	non_coding	543619	545623	135	NO	2005
9	braker_augustus	exon	545624	545715	136	NO	92
9	braker_augustus	intron	545716	551966	137	NO	6251
9	braker_augustus	exon	551967	552135	138	NO	169
9	braker_augustus	non_coding	552136	576829	139	NO	24694
9	braker_augustus	exon	576830	576957	140	NO	128
9	braker_augustus	intron	576958	580281	141	NO	3324
9	braker_augustus	exon	580282	580439	142	NO	158
9	braker_augustus	intron	580440	582476	143	NO	2037
9	braker_augustus	exon	582477	582487	144	NO	11
9	braker_augustus	non_coding	582488	624252	145	NO	41765
9	braker_augustus	exon	624253	624534	146	NO	282
9	braker_augustus	non_coding	624535	647283	147	NO	22749
9	braker_augustus	exon	647284	647490	148	NO	207
9	braker_augustus	intron	647491	657194	149	NO	9704
9	braker_augustus	exon	657195	658031	150	NO	837
9	braker_augustus	non_coding	658032	683957	151	NO	25926
9	braker_augustus	exon	683958	684179	152	NO	222
9	braker_augustus	intron	684180	685547	153	NO	1368
9	braker_augustus	exon	685548	685739	154	NO	192
9	braker_augustus	intron	685740	690815	155	NO	5076
9	braker_augustus	exon	690816	691015	156	NO	200
9	braker_augustus	intron	691016	694143	157	NO	3128
9	braker_augustus	exon	694144	694168	158	NO	25
9	braker_augustus	non_coding	694169	699436	159	NO	5268
9	braker_augustus	exon	699437	699925	160	NO	489
9	braker_augustus	non_coding	699926	704659	161	NO	4734
9	braker_augustus	exon	704660	704804	162	NO	145
9	braker_augustus	intron	704805	705083	163	NO	279
9	braker_augustus	exon	705084	705282	164	NO	199
9	braker_augustus	intron	705283	706007	165	NO	725
9	braker_augustus	exon	706008	706086	166	NO	79
9	braker_augustus	non_coding	706087	709809	167	NO	3723
9	braker_augustus	exon	709810	709986	168	NO	177
9	braker_augustus	intron	709987	711050	169	NO	1064
9	braker_augustus	exon	711051	711359	170	NO	309
9	braker_augustus	intron	711360	711721	171	NO	362
9	braker_augustus	exon	711722	711815	172	NO	94
9	braker_augustus	intron	711816	712297	173	NO	482
9	braker_augustus	exon	712298	712453	174	NO	156
9	braker_augustus	intron	712454	712678	175	NO	225
9	braker_augustus	exon	712679	712869	176	NO	191
9	braker_augustus	intron	712870	717497	177	NO	4628
9	braker_augustus	exon	717498	717700	178	NO	203
9	braker_augustus	intron	717701	717973	179	NO	273
9	braker_augustus	exon	717974	718154	180	NO	181
9	braker_augustus	intron	718155	718984	181	NO	830
9	braker_augustus	exon	718985	719158	182	NO	174
9	braker_augustus	intron	719159	720158	183	NO	1000
9	braker_augustus	exon	720159	720329	184	NO	171
9	braker_augustus	intron	720330	722338	185	NO	2009
9	braker_augustus	exon	722339	722473	186	NO	135
9	braker_augustus	intron	722474	722533	187	NO	60
9	braker_augustus	exon	722534	722712	188	NO	179
9	braker_augustus	intron	722713	723184	189	NO	472
9	braker_augustus	exon	723185	723375	190	NO	191
9	braker_augustus	intron	723376	724013	191	NO	638
9	braker_augustus	exon	724014	724095	192	NO	82
9	braker_augustus	intron	724096	724329	193	NO	234
9	braker_augustus	exon	724330	724509	194	NO	180
9	braker_augustus	intron	724510	724767	195	NO	258
9	braker_augustus	exon	724768	724936	196	NO	169
9	braker_augustus	intron	724937	725221	197	NO	285
9	braker_augustus	exon	725222	725470	198	NO	249
9	braker_augustus	intron	725471	726337	199	NO	867
9	braker_augustus	exon	726338	726497	200	NO	160
9	braker_augustus	intron	726498	726805	201	NO	308
9	braker_augustus	exon	726806	727192	202	NO	387
9	braker_augustus	intron	727193	727279	203	NO	87
9	braker_augustus	exon	727280	727434	204	NO	155
9	braker_augustus	non_coding	727435	728734	205	NO	1300
9	braker_augustus	exon	728735	729052	206	NO	318
9	braker_augustus	intron	729053	729132	207	NO	80
9	braker_augustus	exon	729133	729408	208	NO	276
9	braker_augustus	non_coding	729409	744584	209	NO	15176
9	braker_augustus	exon	744585	744709	210	NO	125
9	braker_augustus	intron	744710	751003	211	NO	6294
9	braker_augustus	exon	751004	751106	212	NO	103
9	braker_augustus	intron	751107	751602	213	NO	496
9	braker_augustus	exon	751603	751761	214	NO	159
9	braker_augustus	intron	751762	753790	215	NO	2029
9	braker_augustus	exon	753791	754018	216	NO	228
9	braker_augustus	intron	754019	754704	217	NO	686
9	braker_augustus	exon	754705	754913	218	NO	209
9	braker_augustus	intron	754914	755281	219	NO	368
9	braker_augustus	exon	755282	755391	220	NO	110
9	braker_augustus	intron	755392	755640	221	NO	249
9	braker_augustus	exon	755641	755750	222	NO	110
9	braker_augustus	intron	755751	756059	223	NO	309
9	braker_augustus	exon	756060	756225	224	NO	166
9	braker_augustus	intron	756226	756543	225	NO	318
9	braker_augustus	exon	756544	756658	226	NO	115
9	braker_augustus	intron	756659	756982	227	NO	324
9	braker_augustus	exon	756983	757043	228	NO	61
9	braker_augustus	intron	757044	757594	229	NO	551
9	braker_augustus	exon	757595	757753	230	NO	159
9	braker_augustus	non_coding	757754	764647	231	NO	6894
9	braker_augustus	exon	764648	764691	232	NO	44
9	braker_augustus	intron	764692	765140	233	NO	449
9	braker_augustus	exon	765141	765380	234	NO	240
9	braker_augustus	intron	765381	766029	235	NO	649
9	braker_augustus	exon	766030	766120	236	NO	91
9	braker_augustus	intron	766121	766823	237	NO	703
9	braker_augustus	exon	766824	766898	238	NO	75
9	braker_augustus	non_coding	766899	778137	239	NO	11239
9	braker_augustus	exon	778138	778185	240	NO	48
9	braker_augustus	intron	778186	789298	241	NO	11113
9	braker_augustus	exon	789299	789757	242	NO	459
9	braker_augustus	non_coding	789758	795175	243	NO	5418
9	braker_augustus	exon	795176	795576	244	NO	401
9	braker_augustus	intron	795577	799279	245	NO	3703
9	braker_augustus	exon	799280	799485	246	NO	206
9	braker_augustus	intron	799486	802234	247	NO	2749
9	braker_augustus	exon	802235	802419	248	NO	185
9	braker_augustus	non_coding	802420	809762	249	NO	7343
9	braker_augustus	exon	809763	809848	250	NO	86
9	braker_augustus	intron	809849	810601	251	NO	753
9	braker_augustus	exon	810602	810780	252	NO	179
9	braker_augustus	intron	810781	811082	253	NO	302
9	braker_augustus	exon	811083	811273	254	NO	191
9	braker_augustus	intron	811274	811502	255	NO	229
9	braker_augustus	exon	811503	811636	256	NO	134
9	braker_augustus	intron	811637	812181	257	NO	545
9	braker_augustus	exon	812182	812322	258	NO	141
9	braker_augustus	intron	812323	812452	259	NO	130
9	braker_augustus	exon	812453	812590	260	NO	138
9	braker_augustus	intron	812591	812962	261	NO	372
9	braker_augustus	exon	812963	813110	262	NO	148
9	braker_augustus	intron	813111	814216	263	NO	1106
9	braker_augustus	exon	814217	814417	264	NO	201
9	braker_augustus	intron	814418	815094	265	NO	677
9	braker_augustus	exon	815095	815301	266	NO	207
9	braker_augustus	intron	815302	815807	267	NO	506
9	braker_augustus	exon	815808	815933	268	NO	126
9	braker_augustus	intron	815934	816277	269	NO	344
9	braker_augustus	exon	816278	816387	270	NO	110
9	braker_augustus	intron	816388	816477	271	NO	90
9	braker_augustus	exon	816478	816505	272	NO	28
9	braker_augustus	non_coding	816506	818129	273	NO	1624
9	braker_augustus	exon	818130	819887	274	NO	1758
9	braker_augustus	non_coding	819888	914949	275	NO	95062
9	braker_augustus	exon	914950	915039	276	NO	90
9	braker_augustus	intron	915040	915357	277	NO	318
9	braker_augustus	exon	915358	915483	278	NO	126
9	braker_augustus	intron	915484	916221	279	NO	738
9	braker_augustus	exon	916222	916318	280	NO	97
9	braker_augustus	intron	916319	916504	281	NO	186
9	braker_augustus	exon	916505	916626	282	NO	122
9	braker_augustus	intron	916627	916803	283	NO	177
9	braker_augustus	exon	916804	917855	284	NO	1052
9	braker_augustus	intron	917856	917963	285	NO	108
9	braker_augustus	exon	917964	918181	286	NO	218
9	braker_augustus	intron	918182	918263	287	NO	82
9	braker_augustus	exon	918264	918437	288	NO	174
9	braker_augustus	intron	918438	918539	289	NO	102
9	braker_augustus	exon	918540	918691	290	NO	152
9	braker_augustus	intron	918692	918902	291	NO	211
9	braker_augustus	exon	918903	919058	292	NO	156
9	braker_augustus	intron	919059	919918	293	NO	860
9	braker_augustus	exon	919919	920173	294	NO	255
9	braker_augustus	intron	920174	920558	295	NO	385
9	braker_augustus	exon	920559	920695	296	NO	137
9	braker_augustus	intron	920696	921051	297	NO	356
9	braker_augustus	exon	921052	921190	298	NO	139
9	braker_augustus	intron	921191	941614	299	NO	20424
9	braker_augustus	exon	941615	941760	300	NO	146
9	braker_augustus	intron	941761	942040	301	NO	280
9	braker_augustus	exon	942041	942155	302	NO	115
9	braker_augustus	intron	942156	942436	303	NO	281
9	braker_augustus	exon	942437	942559	304	NO	123
9	braker_augustus	intron	942560	943017	305	NO	458
9	braker_augustus	exon	943018	943156	306	NO	139
9	braker_augustus	intron	943157	944782	307	NO	1626
9	braker_augustus	exon	944783	944942	308	NO	160
9	braker_augustus	intron	944943	948410	309	NO	3468
9	braker_augustus	exon	948411	948498	310	NO	88
9	braker_augustus	non_coding	948499	951342	311	NO	2844
9	braker_augustus	exon	951343	951377	312	NO	35
9	braker_augustus	intron	951378	956799	313	NO	5422
9	braker_augustus	exon	956800	957025	314	NO	226
9	braker_augustus	intron	957026	958714	315	NO	1689
9	braker_augustus	exon	958715	958894	316	NO	180
9	braker_augustus	intron	958895	961170	317	NO	2276
9	braker_augustus	exon	961171	961359	318	NO	189
9	braker_augustus	non_coding	961360	963591	319	NO	2232
9	braker_augustus	exon	963592	963637	320	NO	46
9	braker_augustus	intron	963638	965086	321	NO	1449
9	braker_augustus	exon	965087	965326	322	NO	240
9	braker_augustus	intron	965327	965689	323	NO	363
9	braker_augustus	exon	965690	965918	324	NO	229
9	braker_augustus	intron	965919	966241	325	NO	323
9	braker_augustus	exon	966242	966412	326	NO	171
9	braker_augustus	intron	966413	967496	327	NO	1084
9	braker_augustus	exon	967497	967635	328	NO	139
9	braker_augustus	intron	967636	967884	329	NO	249
9	braker_augustus	exon	967885	967947	330	NO	63
9	braker_augustus	intron	967948	968021	331	NO	74
9	braker_augustus	exon	968022	968120	332	NO	99
9	braker_augustus	intron	968121	968202	333	NO	82
9	braker_augustus	exon	968203	968299	334	NO	97
9	braker_augustus	intron	968300	968707	335	NO	408
9	braker_augustus	exon	968708	968898	336	NO	191
9	braker_augustus	intron	968899	969044	337	NO	146
9	braker_augustus	exon	969045	969090	338	NO	46
9	braker_augustus	intron	969091	969758	339	NO	668
9	braker_augustus	exon	969759	969897	340	NO	139
9	braker_augustus	intron	969898	973537	341	NO	3640
9	braker_augustus	exon	973538	973758	342	NO	221
9	braker_augustus	intron	973759	974123	343	NO	365
9	braker_augustus	exon	974124	974269	344	NO	146
9	braker_augustus	intron	974270	976374	345	NO	2105
9	braker_augustus	exon	976375	976587	346	NO	213
9	braker_augustus	intron	976588	976802	347	NO	215
9	braker_augustus	exon	976803	976964	348	NO	162
9	braker_augustus	intron	976965	978374	349	NO	1410
9	braker_augustus	exon	978375	978467	350	NO	93
9	braker_augustus	non_coding	978468	980095	351	NO	1628
9	braker_augustus	exon	980096	980209	352	NO	114
9	braker_augustus	intron	980210	980504	353	NO	295
9	braker_augustus	exon	980505	980575	354	NO	71
9	braker_augustus	intron	980576	980846	355	NO	271
9	braker_augustus	exon	980847	980985	356	NO	139
9	braker_augustus	intron	980986	981357	357	NO	372
9	braker_augustus	exon	981358	981455	358	NO	98
9	braker_augustus	intron	981456	981759	359	NO	304
9	braker_augustus	exon	981760	981871	360	NO	112
9	braker_augustus	intron	981872	982264	361	NO	393
9	braker_augustus	exon	982265	982451	362	NO	187
9	braker_augustus	intron	982452	982818	363	NO	367
9	braker_augustus	exon	982819	983015	364	NO	197
9	braker_augustus	intron	983016	983403	365	NO	388
9	braker_augustus	exon	983404	983539	366	NO	136
9	braker_augustus	intron	983540	983869	367	NO	330
9	braker_augustus	exon	983870	984006	368	NO	137
9	braker_augustus	non_coding	984007	996219	369	NO	12213
9	braker_augustus	exon	996220	996350	370	NO	131
9	braker_augustus	intron	996351	1000373	371	NO	4023
9	braker_augustus	exon	1000374	1000534	372	NO	161
9	braker_augustus	intron	1000535	1001341	373	NO	807
9	braker_augustus	exon	1001342	1001579	374	NO	238
9	braker_augustus	intron	1001580	1006394	375	NO	4815
9	braker_augustus	exon	1006395	1006609	376	NO	215
9	braker_augustus	intron	1006610	1007093	377	NO	484
9	braker_augustus	exon	1007094	1007264	378	NO	171
9	braker_augustus	intron	1007265	1007774	379	NO	510
9	braker_augustus	exon	1007775	1007933	380	NO	159
9	braker_augustus	intron	1007934	1008248	381	NO	315
9	braker_augustus	exon	1008249	1008464	382	NO	216
9	braker_augustus	intron	1008465	1015848	383	NO	7384
9	braker_augustus	exon	1015849	1016046	384	NO	198
9	braker_augustus	intron	1016047	1016431	385	NO	385
9	braker_augustus	exon	1016432	1016568	386	NO	137
9	braker_augustus	intron	1016569	1017102	387	NO	534
9	braker_augustus	exon	1017103	1017270	388	NO	168
9	braker_augustus	intron	1017271	1023494	389	NO	6224
9	braker_augustus	exon	1023495	1023742	390	NO	248
9	braker_augustus	intron	1023743	1024393	391	NO	651
9	braker_augustus	exon	1024394	1024560	392	NO	167
9	braker_augustus	intron	1024561	1025049	393	NO	489
9	braker_augustus	exon	1025050	1025237	394	NO	188
9	braker_augustus	non_coding	1025238	1052755	395	NO	27518
9	braker_augustus	exon	1052756	1052844	396	NO	89
9	braker_augustus	intron	1052845	1053172	397	NO	328
9	braker_augustus	exon	1053173	1053327	398	NO	155
9	braker_augustus	intron	1053328	1054315	399	NO	988
9	braker_augustus	exon	1054316	1054553	400	NO	238
9	braker_augustus	intron	1054554	1056053	401	NO	1500
9	braker_augustus	exon	1056054	1056262	402	NO	209
9	braker_augustus	intron	1056263	1056652	403	NO	390
9	braker_augustus	exon	1056653	1056823	404	NO	171
9	braker_augustus	intron	1056824	1066705	405	NO	9882
9	braker_augustus	exon	1066706	1066858	406	NO	153
9	braker_augustus	intron	1066859	1067362	407	NO	504
9	braker_augustus	exon	1067363	1067578	408	NO	216
9	braker_augustus	intron	1067579	1067802	409	NO	224
9	braker_augustus	exon	1067803	1068000	410	NO	198
9	braker_augustus	intron	1068001	1068732	411	NO	732
9	braker_augustus	exon	1068733	1068869	412	NO	137
9	braker_augustus	intron	1068870	1069110	413	NO	241
9	braker_augustus	exon	1069111	1069278	414	NO	168
9	braker_augustus	intron	1069279	1069667	415	NO	389
9	braker_augustus	exon	1069668	1069906	416	NO	239
9	braker_augustus	intron	1069907	1070236	417	NO	330
9	braker_augustus	exon	1070237	1070403	418	NO	167
9	braker_augustus	intron	1070404	1071175	419	NO	772
9	braker_augustus	exon	1071176	1071378	420	NO	203
9	braker_augustus	non_coding	1071379	1106669	421	NO	35291
9	braker_augustus	exon	1106670	1106903	422	NO	234
9	braker_augustus	intron	1106904	1107071	423	NO	168
9	braker_augustus	exon	1107072	1107896	424	NO	825
9	braker_augustus	non_coding	1107897	1109250	425	NO	1354
9	braker_augustus	exon	1109251	1110534	426	NO	1284
9	braker_augustus	non_coding	1110535	1114800	427	NO	4266
9	braker_augustus	exon	1114801	1115006	428	NO	206
9	braker_augustus	intron	1115007	1119234	429	NO	4228
9	braker_augustus	exon	1119235	1119338	430	NO	104
9	braker_augustus	intron	1119339	1127538	431	NO	8200
9	braker_augustus	exon	1127539	1127729	432	NO	191
9	braker_augustus	intron	1127730	1128139	433	NO	410
9	braker_augustus	exon	1128140	1128224	434	NO	85
9	braker_augustus	intron	1128225	1128698	435	NO	474
9	braker_augustus	exon	1128699	1128909	436	NO	211
9	braker_augustus	intron	1128910	1130703	437	NO	1794
9	braker_augustus	exon	1130704	1130878	438	NO	175
9	braker_augustus	intron	1130879	1131176	439	NO	298
9	braker_augustus	exon	1131177	1131258	440	NO	82
9	braker_augustus	intron	1131259	1131520	441	NO	262
9	braker_augustus	exon	1131521	1131716	442	NO	196
9	braker_augustus	intron	1131717	1132275	443	NO	559
9	braker_augustus	exon	1132276	1132365	444	NO	90
9	braker_augustus	intron	1132366	1132731	445	NO	366
9	braker_augustus	exon	1132732	1132880	446	NO	149
9	braker_augustus	intron	1132881	1133598	447	NO	718
9	braker_augustus	exon	1133599	1133736	448	NO	138
9	braker_augustus	intron	1133737	1133857	449	NO	121
9	braker_augustus	exon	1133858	1133883	450	NO	26
9	braker_augustus	non_coding	1133884	1135177	451	NO	1294
9	braker_augustus	exon	1135178	1135350	452	NO	173
9	braker_augustus	intron	1135351	1135686	453	NO	336
9	braker_augustus	exon	1135687	1135903	454	NO	217
9	braker_augustus	intron	1135904	1136348	455	NO	445
9	braker_augustus	exon	1136349	1136462	456	NO	114
9	braker_augustus	intron	1136463	1136636	457	NO	174
9	braker_augustus	exon	1136637	1136877	458	NO	241
9	braker_augustus	intron	1136878	1138929	459	NO	2052
9	braker_augustus	exon	1138930	1139131	460	NO	202
9	braker_augustus	intron	1139132	1140316	461	NO	1185
9	braker_augustus	exon	1140317	1140468	462	NO	152
9	braker_augustus	intron	1140469	1140791	463	NO	323
9	braker_augustus	exon	1140792	1140880	464	NO	89
9	braker_augustus	intron	1140881	1143618	465	NO	2738
9	braker_augustus	exon	1143619	1143813	466	NO	195
9	braker_augustus	non_coding	1143814	1145598	467	NO	1785
9	braker_augustus	exon	1145599	1145703	468	NO	105
9	braker_augustus	intron	1145704	1145998	469	NO	295
9	braker_augustus	exon	1145999	1146091	470	NO	93
9	braker_augustus	intron	1146092	1146484	471	NO	393
9	braker_augustus	exon	1146485	1146619	472	NO	135
9	braker_augustus	intron	1146620	1149176	473	NO	2557
9	braker_augustus	exon	1149177	1149336	474	NO	160
9	braker_augustus	intron	1149337	1155509	475	NO	6173
9	braker_augustus	exon	1155510	1155642	476	NO	133
9	braker_augustus	intron	1155643	1155903	477	NO	261
9	braker_augustus	exon	1155904	1156088	478	NO	185
9	braker_augustus	intron	1156089	1157603	479	NO	1515
9	braker_augustus	exon	1157604	1157726	480	NO	123
9	braker_augustus	intron	1157727	1158077	481	NO	351
9	braker_augustus	exon	1158078	1158287	482	NO	210
9	braker_augustus	intron	1158288	1160125	483	NO	1838
9	braker_augustus	exon	1160126	1160238	484	NO	113
9	braker_augustus	non_coding	1160239	1167947	485	NO	7709
9	braker_augustus	exon	1167948	1168049	486	NO	102
9	braker_augustus	intron	1168050	1174699	487	NO	6650
9	braker_augustus	exon	1174700	1174999	488	NO	300
9	braker_augustus	non_coding	1175000	1204142	489	NO	29143
9	braker_augustus	exon	1204143	1204234	490	NO	92
9	braker_augustus	intron	1204235	1204937	491	NO	703
9	braker_augustus	exon	1204938	1205142	492	NO	205
9	braker_augustus	intron	1205143	1206691	493	NO	1549
9	braker_augustus	exon	1206692	1206860	494	NO	169
9	braker_augustus	intron	1206861	1214776	495	NO	7916
9	braker_augustus	exon	1214777	1214879	496	NO	103
9	braker_augustus	intron	1214880	1217604	497	NO	2725
9	braker_augustus	exon	1217605	1217726	498	NO	122
9	braker_augustus	intron	1217727	1219106	499	NO	1380
9	braker_augustus	exon	1219107	1219355	500	NO	249
9	braker_augustus	intron	1219356	1219726	501	NO	371
9	braker_augustus	exon	1219727	1219934	502	NO	208
9	braker_augustus	intron	1219935	1220184	503	NO	250
9	braker_augustus	exon	1220185	1220387	504	NO	203
9	braker_augustus	intron	1220388	1220851	505	NO	464
9	braker_augustus	exon	1220852	1220996	506	NO	145
9	braker_augustus	intron	1220997	1221238	507	NO	242
9	braker_augustus	exon	1221239	1221421	508	NO	183
9	braker_augustus	intron	1221422	1221622	509	NO	201
9	braker_augustus	exon	1221623	1221881	510	NO	259
9	braker_augustus	non_coding	1221882	1225377	511	NO	3496
9	braker_augustus	exon	1225378	1225490	512	NO	113
9	braker_augustus	intron	1225491	1226078	513	NO	588
9	braker_augustus	exon	1226079	1226443	514	NO	365
9	braker_augustus	intron	1226444	1230404	515	NO	3961
9	braker_augustus	exon	1230405	1231579	516	NO	1175
9	braker_augustus	non_coding	1231580	1235481	517	NO	3902
9	braker_augustus	exon	1235482	1235669	518	NO	188
9	braker_augustus	intron	1235670	1235981	519	NO	312
9	braker_augustus	exon	1235982	1236619	520	NO	638
9	braker_augustus	intron	1236620	1237048	521	NO	429
9	braker_augustus	exon	1237049	1237210	522	NO	162
9	braker_augustus	intron	1237211	1237402	523	NO	192
9	braker_augustus	exon	1237403	1237732	524	NO	330
9	braker_augustus	intron	1237733	1246546	525	NO	8814
9	braker_augustus	exon	1246547	1246782	526	NO	236
9	braker_augustus	intron	1246783	1247039	527	NO	257
9	braker_augustus	exon	1247040	1247201	528	NO	162
9	braker_augustus	intron	1247202	1247348	529	NO	147
9	braker_augustus	exon	1247349	1247468	530	NO	120
9	braker_augustus	non_coding	1247469	1250545	531	NO	3077
9	braker_augustus	exon	1250546	1250710	532	NO	165
9	braker_augustus	intron	1250711	1251527	533	NO	817
9	braker_augustus	exon	1251528	1251677	534	NO	150
